Site,Target,MAE,RMSE,R2,Bias
site_1,O3_target,2.786508043550151,6.428915290730467,0.9449962958354599,-0.04363341829392404
site_1,NO2_target,5.59059123241321,10.454673731468938,0.8466707378175956,-0.5699373958135545
site_2,O3_target,4.5050524844129,7.729116653665573,0.9158755784418027,0.2923785785572862
site_2,NO2_target,5.209854187883606,8.19602886808831,0.8620527597346672,-0.12410756835819878
site_3,O3_target,6.744799921754399,11.017371242046146,0.9186492921960837,-0.12640747854403578
site_3,NO2_target,6.579920226219529,10.275431382987607,0.8796693033080937,0.9152785684595156
site_4,O3_target,5.823268214832015,9.42218425095475,0.9374470343171522,-0.6203636916170127
site_4,NO2_target,4.846303699305283,7.70410905020177,0.833741254941652,0.32071149129830545
site_5,O3_target,5.6949204850311,9.151132783014644,0.9259279069425332,-0.6603968045146391
site_5,NO2_target,8.072540856214495,13.534112392463319,0.8921157321545049,-1.0695279688275727
site_6,O3_target,9.054797114208991,17.332759746235208,0.7760063181374874,-3.06327505144881
site_6,NO2_target,5.893945691814633,10.268772054657624,0.7916613527021799,-0.684931231070235
site_7,O3_target,6.033879229076823,9.686261865192431,0.9254026129902888,0.1098932928673332
site_7,NO2_target,4.315500873154112,7.529891982917315,0.8567217277040637,-0.05620227250443056
